gene_key	entrez_gene_id	go_terms	go_bp	go_mf	go_cc
948640	948640	GO:0000156;GO:0000160;GO:0001216;GO:0003677;GO:0003700;GO:0005737;GO:0006351;GO:0042803;GO:0045893	GO:0000160;GO:0006351;GO:0045893	GO:0000156;GO:0001216;GO:0003677;GO:0003700;GO:0042803	GO:0005737
948639	948639	GO:0000155;GO:0000160;GO:0000166;GO:0004673;GO:0005515;GO:0005524;GO:0005829;GO:0005886;GO:0006355;GO:0007165;GO:0009365;GO:0016301;GO:0016740;GO:0016772;GO:0030288;GO:0042802;GO:0046777	GO:0000160;GO:0006355;GO:0007165;GO:0046777	GO:0000155;GO:0000166;GO:0004673;GO:0005515;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0042802	GO:0005829;GO:0005886;GO:0009365;GO:0030288
948648	948648				
948647	948647	GO:0016747		GO:0016747	
948646	948646	GO:0004518;GO:0004519;GO:0004521;GO:0016787		GO:0004518;GO:0004519;GO:0004521;GO:0016787	
1450308	1450308	GO:0005886;GO:0016020;GO:0060187			GO:0005886;GO:0016020;GO:0060187
948645	948645	GO:0000049;GO:0000166;GO:0000287;GO:0003676;GO:0004812;GO:0004824;GO:0005524;GO:0005737;GO:0005829;GO:0006412;GO:0006418;GO:0006430;GO:0016020;GO:0016874;GO:0034605;GO:0036260;GO:0042803;GO:0046872	GO:0006412;GO:0006418;GO:0006430;GO:0034605;GO:0036260	GO:0000049;GO:0000166;GO:0000287;GO:0003676;GO:0004812;GO:0004824;GO:0005524;GO:0016874;GO:0042803;GO:0046872	GO:0005737;GO:0005829;GO:0016020
948644	948644	GO:0005886;GO:0006857;GO:0015031;GO:0015078;GO:0015293;GO:0015333;GO:0015833;GO:0016020;GO:0022857;GO:0035442;GO:0035443;GO:0042937;GO:0055085;GO:0071916;GO:1902600;GO:1904680	GO:0006857;GO:0015031;GO:0015833;GO:0035442;GO:0035443;GO:0055085;GO:1902600	GO:0015078;GO:0015293;GO:0015333;GO:0022857;GO:0042937;GO:0071916;GO:1904680	GO:0005886;GO:0016020
948643	948643	GO:0003824;GO:0005515;GO:0005737;GO:0006520;GO:0006554;GO:0008923;GO:0016829;GO:0016831;GO:0042802;GO:0097216	GO:0006520;GO:0006554	GO:0003824;GO:0005515;GO:0008923;GO:0016829;GO:0016831;GO:0042802;GO:0097216	GO:0005737
948654	948654	GO:0005886;GO:0006865;GO:0015293;GO:0015297;GO:0015839;GO:0016020;GO:0022857;GO:0043872;GO:0055085;GO:1903401;GO:1990451	GO:0006865;GO:0015839;GO:0055085;GO:1903401;GO:1990451	GO:0015293;GO:0015297;GO:0022857;GO:0043872	GO:0005886;GO:0016020
948653	948653	GO:0000156;GO:0000160;GO:0000976;GO:0003677;GO:0005515;GO:0005829;GO:0005886;GO:0006355;GO:0032993;GO:0042803;GO:0045893	GO:0000160;GO:0006355;GO:0045893	GO:0000156;GO:0000976;GO:0003677;GO:0005515;GO:0042803	GO:0005829;GO:0005886;GO:0032993
948651	948651				
948650	948650	GO:0003677		GO:0003677	
